time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130328:0000,19.02,21.87,0,0,0,316.47,4.52,186,99130
20130328:0100,18.66,22.4,0,0,0,313.93,3.74,186,99107
20130328:0200,18.31,22.93,0,0,0,311.4,2.97,185,99084
20130328:0300,17.6,23.82,0,0,0,310.22,2.61,186,99091
20130328:0400,16.88,24.72,0,0,0,309.03,2.25,188,99097
20130328:0500,16.17,25.61,0,0,0,307.85,1.89,189,99104
20130328:0600,18.32,22.02,50,21.4,47,311.93,1.62,192,99130
20130328:0700,20.46,18.44,280,387.07,144,316.02,1.36,195,99156
20130328:0800,22.61,14.85,405,264.56,262,320.1,1.09,198,99183
20130328:0900,24.82,12.97,629,500.87,281,326.23,1.2,202,99140
20130328:1000,27.02,11.08,737,503.96,332,332.37,1.32,205,99097
20130328:1100,29.22,9.2,859,672.35,281,338.5,1.43,209,99055
20130328:1200,29.99,8.96,889,760.15,236,337.65,1.58,213,98979
20130328:1300,30.77,8.73,702,425.28,361,336.8,1.72,217,98903
20130328:1400,31.54,8.49,464,154.65,357,335.95,1.86,221,98828
20130328:1500,29.77,9.75,535,741.51,137,332.13,3,232,98834
20130328:1600,28,11.01,268,342.98,149,328.32,4.13,244,98841
20130328:1700,26.22,12.27,21,0,21,324.5,5.27,256,98847
20130328:1800,25.19,15.45,0,0,0,321.9,7.05,282,98930
20130328:1900,24.15,18.62,0,0,0,319.3,8.83,308,99012
20130328:2000,23.11,21.8,0,0,0,316.7,10.61,334,99094
20130328:2100,22.17,27.23,0,0,0,314.8,10.05,338,99143
20130328:2200,21.23,32.66,0,0,0,312.9,9.49,343,99193
20130328:2300,20.28,38.09,0,0,0,311,8.92,347,99242
20130329:0000,19.48,40.84,0,0,0,312.53,8.74,344,99278
20130329:0100,18.67,43.58,0,0,0,314.07,8.57,341,99314
20130329:0200,17.87,46.33,0,0,0,315.6,8.39,338,99350
20130329:0300,17.3,49.16,0,0,0,313.65,7.96,339,99423
20130329:0400,16.73,52,0,0,0,311.7,7.53,341,99495
20130329:0500,16.16,54.83,0,0,0,309.75,7.1,342,99567
20130329:0600,17.38,49.94,63,62.07,54,312.25,6.84,347,99636
20130329:0700,18.61,45.06,325,620.78,104,314.75,6.57,351,99705
20130329:0800,19.83,40.17,537,717.5,146,317.25,6.3,356,99774
20130329:0900,21.25,36,742,869.89,134,323.13,5.51,356,99758
20130329:1000,22.66,31.84,879,917.66,138,329.02,4.72,357,99742
20130329:1100,24.08,27.67,935,888.56,168,334.9,3.93,357,99725
20130329:1200,24.7,26.27,764,436.06,388,338.3,3.83,352,99696
20130329:1300,25.32,24.86,502,105.62,417,341.7,3.74,348,99666
20130329:1400,25.93,23.46,677,649.27,226,345.1,3.64,343,99636
20130329:1500,25.16,24.34,535,728.69,142,340.82,3.53,338,99653
20130329:1600,24.38,25.21,310,560.86,114,336.53,3.41,333,99669
20130329:1700,23.6,26.09,95,333.39,49,332.25,3.3,328,99686
20130329:1800,22.39,27.62,0,0,0,329.62,3.45,325,99755
20130329:1900,21.18,29.14,0,0,0,326.98,3.61,322,99824
20130329:2000,19.97,30.67,0,0,0,324.35,3.77,320,99893
20130329:2100,19.37,31.94,0,0,0,323.28,3.69,321,99890
20130329:2200,18.78,33.22,0,0,0,322.22,3.62,322,99886
20130329:2300,18.19,34.49,0,0,0,321.15,3.54,323,99883
20130330:0000,17.7,36.36,0,0,0,320.7,3.67,318,99863
20130330:0100,17.2,38.22,0,0,0,320.25,3.79,313,99844
