time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,9.1,71.24,0,0,0,279.36,5.84,302,100863
20150101:0100,8.44,71.08,0,0,0,275.7,5.71,302,100787
20150101:0200,7.78,70.91,0,0,0,272.03,5.58,302,100711
20150101:0300,7.12,70.75,0,0,0,268.37,5.45,312,100787
20150101:0400,6.46,70.58,0,0,0,264.7,5.33,321,100863
20150101:0500,5.8,70.41,0,0,0,261.04,5.2,330,100938
20150101:0600,5.14,70.25,0,0,0,257.37,5.07,345,101103
20150101:0700,4.48,70.08,36,32.54,33,253.71,4.94,0,101267
20150101:0800,6.74,53.07,121,30.13,113,273.25,5.57,16,101431
20150101:0900,7.28,46.48,398,676.87,123,272.25,5.99,15,101458
20150101:1000,7.81,39.88,532,827.95,114,271.25,6.41,15,101484
20150101:1100,8.34,33.29,574,764.58,150,270.25,6.83,14,101510
20150101:1200,8.82,33.3,586,835.19,125,263.58,6.3,11,101520
20150101:1300,9.3,33.32,513,778.23,126,256.92,5.78,8,101530
20150101:1400,9.77,33.33,391,717.86,108,250.25,5.26,5,101540
20150101:1500,8.82,37.91,145,112.08,117,249.1,4.76,359,101599
20150101:1600,7.86,42.5,30,67.66,25,247.95,4.26,353,101658
20150101:1700,6.91,47.08,0,0,0,246.8,3.77,347,101717
20150101:1800,6.47,49.72,0,0,0,246.97,3.8,346,101770
20150101:1900,6.03,52.35,0,0,0,247.13,3.83,344,101822
20150101:2000,5.58,54.99,0,0,0,247.3,3.86,343,101875
20150101:2100,5.39,58.61,0,0,0,246.32,3.71,345,101892
20150101:2200,5.19,62.23,0,0,0,245.33,3.55,346,101908
20150101:2300,4.99,65.85,0,0,0,244.35,3.39,347,101924
20150102:0000,4.07,69.63,0,0,0,242.53,3.41,343,101905
20150102:0100,3.15,73.42,0,0,0,240.72,3.43,339,101885
20150102:0200,2.23,77.2,0,0,0,238.9,3.45,334,101865
20150102:0300,1.95,78.13,0,0,0,237.95,3.54,329,101888
20150102:0400,1.67,79.05,0,0,0,237,3.62,324,101911
20150102:0500,1.39,79.98,0,0,0,236.05,3.71,319,101934
20150102:0600,2.57,73.11,0,0,0,237.05,3.9,319,101987
20150102:0700,3.75,66.24,43,76.29,36,238.05,4.09,318,102039
20150102:0800,4.92,59.37,239,576.5,86,239.05,4.28,318,102092
20150102:0900,6.84,53.78,394,651.88,129,245.68,4.4,319,102053
20150102:1000,8.75,48.2,508,702.27,153,252.32,4.53,320,102013
20150102:1100,10.66,42.61,563,709.13,169,258.95,4.66,322,101974
20150102:1200,11.17,42.86,582,805.9,136,262.03,3.96,319,101964
20150102:1300,11.68,43.1,477,597.1,179,265.12,3.26,317,101954
20150102:1400,12.19,43.35,393,719.17,108,268.2,2.57,315,101944
20150102:1500,11.19,49.56,140,91.25,117,269.75,2.23,316,101974
20150102:1600,10.18,55.76,17,0,17,271.3,1.89,317,102003
20150102:1700,9.17,61.97,0,0,0,272.85,1.56,318,102033
20150102:1800,8.51,65.35,0,0,0,271.85,1.26,321,102062
20150102:1900,7.85,68.73,0,0,0,270.85,0.97,323,102092
20150102:2000,7.18,72.11,0,0,0,269.85,0.68,326,102122
20150102:2100,6.66,75.3,0,0,0,267.67,0.76,334,102135
20150102:2200,6.13,78.49,0,0,0,265.48,0.84,343,102148
20150102:2300,5.61,81.68,0,0,0,263.3,0.92,351,102161
20150103:0000,4.84,82.21,0,0,0,259.3,1.47,330,102187
20150103:0100,4.08,82.73,0,0,0,255.3,2.02,309,102214
20150103:0200,3.32,83.26,0,0,0,251.3,2.57,288,102240
20150103:0300,2.54,86.38,0,0,0,250.02,2.57,288,102266
20150103:0400,1.77,89.49,0,0,0,248.73,2.57,288,102293
20150103:0500,0.99,92.61,0,0,0,247.45,2.57,288,102319
20150103:0600,2.35,86.22,0,0,0,248.57,2.37,287,102365
20150103:0700,3.71,79.82,42,76.58,35,249.68,2.18,286,102411
20150103:0800,5.06,73.43,242,595.4,84,250.8,1.99,284,102457
20150103:0900,7.09,65.01,405,715.22,114,256.4,2.15,292,102414
20150103:1000,9.11,56.59,528,799.98,123,262,2.32,300,102371
20150103:1100,11.13,48.17,571,738.18,160,267.6,2.48,307,102329
20150103:1200,11.44,46.17,587,821.67,131,267.87,2.62,309,102299
20150103:1300,11.75,44.18,512,752.55,135,268.13,2.75,311,102270
20150103:1400,12.06,42.18,385,657.56,123,268.4,2.88,312,102240
20150103:1500,11.62,49.08,141,90.41,118,265.4,2.87,300,102247
20150103:1600,11.17,55.98,30,50.87,26,262.4,2.86,288,102253
20150103:1700,10.73,62.88,0,0,0,259.4,2.86,275,102260
20150103:1800,9.47,66.41,0,0,0,258.97,3.05,267,102260
20150103:1900,8.21,69.94,0,0,0,258.53,3.25,259,102260
20150103:2000,6.94,73.47,0,0,0,258.1,3.45,251,102260
20150103:2100,5.98,74.79,0,0,0,256.82,3.59,248,102230
20150103:2200,5.02,76.12,0,0,0,255.53,3.73,246,102201
20150103:2300,4.07,77.44,0,0,0,254.25,3.88,244,102171
20150104:0000,3.57,75.5,0,0,0,252.53,4.08,248,102135
20150104:0100,3.07,73.57,0,0,0,250.82,4.28,252,102099
20150104:0200,2.57,71.63,0,0,0,249.1,4.48,255,102062
20150104:0300,2.37,71.56,0,0,0,249,4.67,255,102039
20150104:0400,2.18,71.48,0,0,0,248.9,4.85,254,102016
20150104:0500,1.98,71.41,0,0,0,248.8,5.03,253,101993
20150104:0600,3.27,65.3,0,0,0,250.72,5.08,250,101990
20150104:0700,4.56,59.19,40,65.82,34,252.63,5.12,248,101987
20150104:0800,5.85,53.08,237,553.8,90,254.55,5.16,246,101984
20150104:0900,8.29,46.23,399,677.6,123,259.23,5.61,247,101892
20150104:1000,10.73,39.38,518,743.41,141,263.92,6.06,248,101799
20150104:1100,13.17,32.53,572,738.29,160,268.6,6.51,250,101707
20150104:1200,13.77,31.41,585,808.44,135,269.75,6.35,250,101642
20150104:1300,14.37,30.3,506,711.8,148,270.9,6.2,251,101576
20150104:1400,14.97,29.18,387,658.87,123,272.05,6.04,251,101510
20150104:1500,13.45,32.62,141,89.56,118,270.85,5.83,247,101494
20150104:1600,11.92,36.07,31,49.33,27,269.65,5.62,244,101477
20150104:1700,10.4,39.51,0,0,0,268.45,5.41,240,101461
20150104:1800,9.6,40.82,0,0,0,268.03,5.37,240,101451
20150104:1900,8.8,42.14,0,0,0,267.62,5.34,240,101441
20150104:2000,8,43.45,0,0,0,267.2,5.31,240,101431
20150104:2100,7.59,44.58,0,0,0,266.17,5.27,243,101405
20150104:2200,7.17,45.72,0,0,0,265.13,5.23,245,101379
20150104:2300,6.76,46.85,0,0,0,264.1,5.19,247,101352
20150105:0000,6.41,47.63,0,0,0,263.57,4.5,252,101320
20150105:0100,6.06,48.42,0,0,0,263.03,3.82,257,101287
20150105:0200,5.71,49.2,0,0,0,262.5,3.13,263,101254
20150105:0300,5.19,52.83,0,0,0,261.5,3.02,267,101270
20150105:0400,4.68,56.45,0,0,0,260.5,2.91,271,101287
20150105:0500,4.16,60.08,0,0,0,259.5,2.8,275,101303
20150105:0600,5.27,56.33,0,0,0,259.88,2.36,293,101359
20150105:0700,6.38,52.59,41,76.92,34,260.27,1.93,311,101415
20150105:0800,7.49,48.84,237,553.43,90,260.65,1.49,329,101471
20150105:0900,9.58,43.5,397,664.42,126,264.88,2.12,359,101448
20150105:1000,11.66,38.15,519,743.96,141,269.12,2.76,28,101425
20150105:1100,13.74,32.81,567,711.45,169,273.35,3.39,58,101402
20150105:1200,14.44,33.09,581,779.04,146,275.67,3.52,66,101369
20150105:1300,15.13,33.38,509,712.82,149,277.98,3.65,74,101336
20150105:1400,15.82,33.66,383,622.81,132,280.3,3.78,82,101303
20150105:1500,13.93,40.69,137,69.42,119,276.97,3.4,83,101349
20150105:1600,12.03,47.72,29,23.92,27,273.63,3.02,84,101395
20150105:1700,10.13,54.75,0,0,0,270.3,2.63,85,101441
20150105:1800,9.16,59.51,0,0,0,269.5,2.25,90,101477
20150105:1900,8.19,64.27,0,0,0,268.7,1.86,94,101513
20150105:2000,7.22,69.03,0,0,0,267.9,1.48,99,101550
20150105:2100,6.92,71.94,0,0,0,266.62,1.16,103,101550
20150105:2200,6.62,74.86,0,0,0,265.33,0.84,108,101550
20150105:2300,6.32,77.77,0,0,0,264.05,0.52,112,101550
20150106:0000,5.71,80.15,0,0,0,262.2,0.76,117,101520
20150106:0100,5.1,82.54,0,0,0,260.35,0.99,122,101490
20150106:0200,4.49,84.92,0,0,0,258.5,1.23,127,101461
20150106:0300,3.98,86.77,0,0,0,256.65,1.29,131,101467
20150106:0400,3.46,88.63,0,0,0,254.8,1.36,135,101474
20150106:0500,2.95,90.48,0,0,0,252.95,1.42,138,101481
20150106:0600,4.1,82.88,0,0,0,254.18,1.34,143,101546
20150106:0700,5.24,75.27,43,87.97,35,255.42,1.26,148,101612
20150106:0800,6.38,67.67,237,552.85,90,256.65,1.17,152,101678
20150106:0900,8.61,59.89,398,665.78,126,262.15,1.15,153,101629
20150106:1000,10.84,52.1,531,799.35,124,267.65,1.13,153,101579
20150106:1100,13.06,44.32,575,738.09,161,273.15,1.1,154,101530
20150106:1200,13.24,42.37,586,794.31,141,272.8,1.05,156,101477
20150106:1300,13.41,40.43,533,826.09,114,272.45,1,159,101425
20150106:1400,13.58,38.48,403,725.16,109,272.1,0.95,162,101372
20150106:1500,11.88,44.6,149,99.3,123,268.6,1.09,161,101398
20150106:1600,10.18,50.71,38,69.59,32,265.1,1.23,160,101425
20150106:1700,8.48,56.83,0,0,0,261.6,1.37,159,101451
20150106:1800,7.45,60.81,0,0,0,259.52,1.74,162,101490
20150106:1900,6.42,64.8,0,0,0,257.43,2.11,165,101530
20150106:2000,5.38,68.78,0,0,0,255.35,2.48,168,101569
20150106:2100,4.93,70.96,0,0,0,252.9,2.37,171,101573
20150106:2200,4.48,73.15,0,0,0,250.45,2.26,174,101576
20150106:2300,4.03,75.33,0,0,0,248,2.15,177,101579
20150107:0000,3.61,74.95,0,0,0,246.93,2.17,175,101573
20150107:0100,3.2,74.58,0,0,0,245.87,2.2,174,101566
20150107:0200,2.79,74.2,0,0,0,244.8,2.22,173,101560
20150107:0300,2.21,76.21,0,0,0,243.63,2.02,169,101586
20150107:0400,1.64,78.23,0,0,0,242.47,1.82,166,101612
20150107:0500,1.06,80.24,0,0,0,241.3,1.61,162,101638
20150107:0600,2.45,72.93,0,0,0,243.32,1.27,159,101681
20150107:0700,3.83,65.62,32,21.98,30,245.33,0.92,156,101724
20150107:0800,5.21,58.31,227,473.19,101,247.35,0.58,154,101767
20150107:0900,7.32,51.2,409,730.49,110,253.57,0.69,151,101737
20150107:1000,9.43,44.1,490,601.55,183,259.78,0.81,149,101707
20150107:1100,11.54,36.99,633,1020.46,59,266,0.92,146,101678
20150107:1200,12.17,37.31,589,795.1,142,268.5,1.51,137,101652
20150107:1300,12.8,37.62,516,728.2,145,271,2.1,127,101625
20150107:1400,13.42,37.94,384,600.6,139,273.5,2.69,118,101599
20150107:1500,11.78,41.83,143,79.41,122,271.62,2.62,109,101638
20150107:1600,10.14,45.71,32,22.5,30,269.73,2.54,101,101678
20150107:1700,8.5,49.6,0,0,0,267.85,2.47,92,101717
20150107:1800,7.6,54.1,0,0,0,267.9,2.2,90,101767
20150107:1900,6.7,58.61,0,0,0,267.95,1.94,89,101816
20150107:2000,5.8,63.11,0,0,0,268,1.67,87,101865
20150107:2100,5.52,65.78,0,0,0,267.4,1.94,87,101875
20150107:2200,5.23,68.44,0,0,0,266.8,2.2,88,101885
20150107:2300,4.95,71.11,0,0,0,266.2,2.47,88,101895
20150108:0000,4.53,71.72,0,0,0,268.5,2.26,85,101882
20150108:0100,4.11,72.34,0,0,0,270.8,2.06,83,101869
20150108:0200,3.69,72.95,0,0,0,273.1,1.85,81,101855
20150108:0300,3.43,75.55,0,0,0,275.73,2,77,101888
20150108:0400,3.16,78.16,0,0,0,278.37,2.14,74,101921
20150108:0500,2.9,80.76,0,0,0,281,2.29,71,101954
20150108:0600,4.03,74.69,0,0,0,285.55,2.16,70,102033
20150108:0700,5.15,68.62,18,0,18,290.1,2.02,69,102112
20150108:0800,6.27,62.55,196,273.65,123,294.65,1.89,69,102191
20150108:0900,8.49,54.84,395,641.17,132,297.43,2.12,68,102161
20150108:1000,10.7,47.13,520,730.99,146,300.22,2.36,67,102132
20150108:1100,12.91,39.42,566,685.95,179,303,2.59,66,102102
20150108:1200,13.43,39.1,575,724.86,166,303.65,2.85,68,102089
20150108:1300,13.95,38.79,567,988.61,61,304.3,3.11,70,102076
20150108:1400,14.46,38.47,309,260.66,202,304.95,3.37,72,102062
20150108:1500,13.02,44.39,156,112.29,126,303.82,3.34,64,102125
20150108:1600,11.57,50.31,35,32.75,32,302.68,3.32,56,102187
20150108:1700,10.12,56.23,0,0,0,301.55,3.3,48,102250
20150108:1800,9.53,57.9,0,0,0,301.68,3.14,46,102302
20150108:1900,8.94,59.56,0,0,0,301.82,2.98,45,102355
20150108:2000,8.34,61.23,0,0,0,301.95,2.83,43,102408
20150108:2100,8.03,65.23,0,0,0,297.47,2.62,46,102398
20150108:2200,7.72,69.23,0,0,0,292.98,2.4,49,102388
20150108:2300,7.41,73.23,0,0,0,288.5,2.19,52,102378
20150109:0000,6.69,73.43,0,0,0,288.45,2.1,61,102371
20150109:0100,5.98,73.64,0,0,0,288.4,2,70,102365
20150109:0200,5.27,73.84,0,0,0,288.35,1.9,79,102358
20150109:0300,4.93,75.05,0,0,0,285.98,1.55,78,102394
20150109:0400,4.6,76.27,0,0,0,283.62,1.2,76,102431
20150109:0500,4.26,77.48,0,0,0,281.25,0.86,75,102467
20150109:0600,5.35,72.85,0,0,0,279.78,0.85,69,102533
20150109:0700,6.44,68.23,36,32.84,33,278.32,0.85,62,102598
20150109:0800,7.53,63.6,263,778.02,55,276.85,0.84,56,102664
20150109:0900,9.54,55.82,317,284.55,200,277.72,0.94,55,102634
20150109:1000,11.55,48.04,484,565.28,194,278.58,1.04,54,102605
20150109:1100,13.56,40.26,574,712.05,171,279.45,1.14,53,102575
20150109:1200,13.96,39.49,590,782.14,147,281.12,1.29,56,102562
20150109:1300,14.36,38.71,519,717.52,150,282.78,1.44,59,102549
20150109:1400,14.75,37.94,401,663.19,127,284.45,1.59,62,102536
20150109:1500,13.33,41.57,150,88.91,126,281.75,1.43,57,102556
20150109:1600,11.9,45.2,41,63.58,35,279.05,1.28,52,102575
20150109:1700,10.48,48.83,0,0,0,276.35,1.13,46,102595
20150109:1800,9.78,53.45,0,0,0,275.1,1.38,40,102628
20150109:1900,9.08,58.06,0,0,0,273.85,1.63,33,102661
20150109:2000,8.37,62.68,0,0,0,272.6,1.88,27,102694
20150109:2100,7.57,66.32,0,0,0,271.07,1.95,11,102634
20150109:2200,6.77,69.95,0,0,0,269.53,2.02,355,102575
20150109:2300,5.97,73.59,0,0,0,268,2.1,339,102516
20150110:0000,5.41,75.11,0,0,0,265.03,2.48,317,102477
20150110:0100,4.84,76.63,0,0,0,262.07,2.87,295,102437
20150110:0200,4.28,78.15,0,0,0,259.1,3.26,274,102398
20150110:0300,3.43,78.5,0,0,0,256.55,3.28,272,102358
20150110:0400,2.59,78.86,0,0,0,254,3.31,271,102319
20150110:0500,1.74,79.21,0,0,0,251.45,3.34,270,102279
20150110:0600,3.29,71.01,0,0,0,252.47,3.19,266,102276
20150110:0700,4.84,62.8,42,76.35,35,253.48,3.03,263,102273
20150110:0800,6.38,54.6,237,544.71,91,254.5,2.88,259,102270
20150110:0900,9.07,47.63,401,667.06,126,261.63,3.19,259,102191
20150110:1000,11.75,40.66,531,773.54,133,268.77,3.5,259,102112
20150110:1100,14.43,33.69,580,727.3,167,275.9,3.81,259,102033
20150110:1200,15.06,31.95,602,826.54,132,277,4.02,262,101961
20150110:1300,15.68,30.22,530,758.51,138,278.1,4.24,264,101888
20150110:1400,16.3,28.48,404,666.04,127,279.2,4.46,267,101816
20150110:1500,14.44,32.82,153,95.32,127,277.03,4.4,259,101803
20150110:1600,12.57,37.16,43,72.02,36,274.87,4.34,251,101790
20150110:1700,10.71,41.5,0,0,0,272.7,4.29,243,101776
20150110:1800,9.88,43.01,0,0,0,272.35,4.41,242,101770
20150110:1900,9.05,44.51,0,0,0,272,4.54,241,101763
20150110:2000,8.21,46.02,0,0,0,271.65,4.66,240,101757
20150110:2100,7.84,46.59,0,0,0,270.83,4.78,240,101714
20150110:2200,7.47,47.15,0,0,0,270.02,4.89,239,101671
20150110:2300,7.09,47.72,0,0,0,269.2,5.01,239,101629
20150111:0000,6.68,46.08,0,0,0,267.37,4.82,242,101583
20150111:0100,6.26,44.44,0,0,0,265.53,4.64,245,101536
20150111:0200,5.84,42.8,0,0,0,263.7,4.46,247,101490
20150111:0300,5.3,43.3,0,0,0,262.67,4.46,244,101481
20150111:0400,4.76,43.79,0,0,0,261.63,4.46,242,101471
20150111:0500,4.22,44.29,0,0,0,260.6,4.46,239,101461
20150111:0600,5.38,40.23,0,0,0,261.38,4.22,238,101481
20150111:0700,6.53,36.17,41,65.14,35,262.17,3.98,237,101500
20150111:0800,7.68,32.11,234,513.35,96,262.95,3.74,237,101520
20150111:0900,10.55,27.57,394,616.77,139,267.37,3.89,238,101441
20150111:1000,13.42,23.03,522,718.83,151,271.78,4.04,239,101362
20150111:1100,16.29,18.49,566,659.83,190,276.2,4.19,240,101283
20150111:1200,17.17,17.23,586,740.84,163,277.92,4.22,242,101231
20150111:1300,18.05,15.97,510,652.65,171,279.63,4.25,244,101178
20150111:1400,18.93,14.71,392,582.76,148,281.35,4.28,245,101126
20150111:1500,16.77,17.34,147,72.55,127,278.85,4.35,244,101178
20150111:1600,14.6,19.96,42,59.95,36,276.35,4.43,243,101231
20150111:1700,12.44,22.59,0,0,0,273.85,4.51,242,101283
20150111:1800,11.24,23.64,0,0,0,273.07,4.37,243,101300
20150111:1900,10.04,24.7,0,0,0,272.28,4.23,245,101316
20150111:2000,8.83,25.75,0,0,0,271.5,4.1,246,101333
20150111:2100,8.46,26.56,0,0,0,270.55,4.15,252,101323
20150111:2200,8.08,27.37,0,0,0,269.6,4.21,258,101313
20150111:2300,7.7,28.18,0,0,0,268.65,4.26,263,101303
20150112:0000,7.84,28.99,0,0,0,270.97,4.29,272,101313
20150112:0100,7.97,29.8,0,0,0,273.28,4.32,281,101323
20150112:0200,8.11,30.61,0,0,0,275.6,4.34,290,101333
20150112:0300,8.12,33.96,0,0,0,276.8,4.18,313,101382
20150112:0400,8.12,37.32,0,0,0,278,4.02,336,101431
20150112:0500,8.13,40.67,0,0,0,279.2,3.86,359,101481
20150112:0600,8.84,39.25,0,0,0,282.73,3.7,16,101556
20150112:0700,9.55,37.84,69,453.35,27,286.27,3.53,32,101632
20150112:0800,10.25,36.42,214,367.05,115,289.8,3.37,48,101707
20150112:0900,11.93,34.3,358,434.01,178,290.38,3.76,55,101704
20150112:1000,13.61,32.18,575,992.63,61,290.97,4.15,62,101701
20150112:1100,15.28,30.06,358,104.91,298,291.55,4.54,68,101698
20150112:1200,16.22,29.47,646,1025.46,58,289.53,4.81,71,101665
20150112:1300,17.16,28.88,579,994.03,60,287.52,5.08,74,101632
20150112:1400,18.09,28.29,451,922.72,62,285.5,5.35,77,101599
20150112:1500,16.39,33.42,156,89.72,131,283.73,4.85,77,101655
20150112:1600,14.68,38.56,70,330,36,281.97,4.34,77,101711
20150112:1700,12.98,43.69,0,0,0,280.2,3.83,76,101767
20150112:1800,11.98,47.3,0,0,0,278.63,3.77,80,101809
20150112:1900,10.98,50.9,0,0,0,277.07,3.7,83,101852
20150112:2000,9.98,54.51,0,0,0,275.5,3.63,87,101895
20150112:2100,9.56,57.62,0,0,0,273.62,3.66,89,101895
20150112:2200,9.14,60.73,0,0,0,271.73,3.68,92,101895
20150112:2300,8.72,63.84,0,0,0,269.85,3.71,94,101895
20150113:0000,7.87,69.89,0,0,0,267.1,3.48,95,101905
20150113:0100,7.03,75.94,0,0,0,264.35,3.25,96,101915
20150113:0200,6.19,81.99,0,0,0,261.6,3.02,97,101924
20150113:0300,5.64,85.44,0,0,0,259.28,3.04,100,101921
20150113:0400,5.08,88.9,0,0,0,256.97,3.06,102,101918
20150113:0500,4.53,92.35,0,0,0,254.65,3.08,105,101915
20150113:0600,5.41,87.16,0,0,0,255.85,2.47,110,101938
20150113:0700,6.29,81.97,45,96.49,36,257.05,1.86,115,101961
20150113:0800,7.16,76.78,266,783.12,54,258.25,1.26,120,101984
20150113:0900,8.97,69.37,438,872.33,75,263.78,1.48,121,101915
20150113:1000,10.78,61.96,554,862.18,106,269.32,1.7,122,101846
20150113:1100,12.58,54.55,603,799.49,144,274.85,1.92,123,101776
20150113:1200,12.98,52.36,617,859.5,122,275.87,1.43,112,101730
20150113:1300,13.38,50.16,583,994.48,61,276.88,0.95,101,101684
20150113:1400,13.78,47.97,454,925.73,61,277.9,0.47,90,101638
20150113:1500,12.71,50.15,148,67.46,129,275.55,0.74,82,101635
20150113:1600,11.64,52.34,56,132.05,42,273.2,1.01,74,101632
20150113:1700,10.57,54.52,0,0,0,270.85,1.28,66,101629
20150113:1800,9.7,61.14,0,0,0,273.17,1.52,85,101632
20150113:1900,8.84,67.77,0,0,0,275.48,1.75,104,101635
20150113:2000,7.97,74.39,0,0,0,277.8,1.99,122,101638
20150113:2100,7.52,78.25,0,0,0,278.82,2.07,129,101609
20150113:2200,7.07,82.11,0,0,0,279.83,2.16,136,101579
20150113:2300,6.62,85.97,0,0,0,280.85,2.25,142,101550
20150114:0000,5.87,85.51,0,0,0,274.9,2.46,153,101510
20150114:0100,5.11,85.06,0,0,0,268.95,2.68,164,101471
20150114:0200,4.36,84.6,0,0,0,263,2.9,174,101431
20150114:0300,4,85.27,0,0,0,261.25,2.93,183,101431
20150114:0400,3.64,85.95,0,0,0,259.5,2.96,193,101431
20150114:0500,3.28,86.62,0,0,0,257.75,2.99,202,101431
20150114:0600,4.7,78.68,0,0,0,259.52,2.97,209,101464
20150114:0700,6.12,70.74,51,148.94,37,261.28,2.96,215,101497
20150114:0800,7.53,62.8,245,577.62,88,263.05,2.94,221,101530
20150114:0900,9.82,53.63,369,474.11,171,270.58,3.45,226,101484
20150114:1000,12.1,44.46,368,186,271,278.12,3.97,231,101438
20150114:1100,14.38,35.29,643,987.18,74,285.65,4.48,236,101392
20150114:1200,15.06,33.63,565,624.01,204,288.23,4.34,238,101339
20150114:1300,15.74,31.97,557,835.62,116,290.82,4.2,241,101287
20150114:1400,16.42,30.31,378,477.13,174,293.4,4.06,243,101234
20150114:1500,15.02,34.92,183,161.55,137,291.23,3.85,239,101244
20150114:1600,13.63,39.53,52,91.69,42,289.07,3.64,235,101254
20150114:1700,12.23,44.14,0,0,0,286.9,3.43,231,101264
20150114:1800,11.43,46.49,0,0,0,287.45,3.52,227,101290
20150114:1900,10.63,48.85,0,0,0,288,3.6,224,101316
20150114:2000,9.83,51.2,0,0,0,288.55,3.68,220,101343
20150114:2100,9.45,52.65,0,0,0,287,3.5,218,101339
20150114:2200,9.07,54.09,0,0,0,285.45,3.31,216,101336
20150114:2300,8.69,55.54,0,0,0,283.9,3.13,214,101333
20150115:0000,8.61,55.65,0,0,0,285.28,3.1,208,101297
20150115:0100,8.53,55.77,0,0,0,286.67,3.08,202,101260
20150115:0200,8.45,55.88,0,0,0,288.05,3.05,196,101224
20150115:0300,8,57.25,0,0,0,288.45,2.89,194,101214
20150115:0400,7.55,58.61,0,0,0,288.85,2.73,191,101204
20150115:0500,7.1,59.98,0,0,0,289.25,2.57,188,101195
20150115:0600,8.08,55.18,0,0,0,292.73,2.44,187,101221
20150115:0700,9.05,50.38,38,42.19,34,296.22,2.31,185,101247
20150115:0800,10.02,45.58,203,289.37,124,299.7,2.18,184,101274
20150115:0900,12.25,39.45,449,923.14,62,303.48,2.46,185,101227
20150115:1000,14.48,33.33,527,706.77,157,307.27,2.74,187,101181
20150115:1100,16.71,27.2,653,1028.06,58,311.05,3.02,189,101135
20150115:1200,17.27,27.68,656,1028.89,58,311.28,3.38,194,101083
20150115:1300,17.82,28.17,485,501.23,219,311.52,3.74,200,101030
20150115:1400,18.37,28.65,60,0,60,311.75,4.1,206,100978
20150115:1500,16.87,32.66,145,52.1,130,310.93,3.6,200,100984
20150115:1600,15.36,36.67,51,71.33,43,310.12,3.11,195,100991
20150115:1700,13.86,40.68,0,0,0,309.3,2.62,189,100997
20150115:1800,12.95,42.79,0,0,0,309.8,2.61,177,101004
20150115:1900,12.05,44.9,0,0,0,310.3,2.59,164,101011
20150115:2000,11.14,47.01,0,0,0,310.8,2.58,151,101017
20150115:2100,10.78,50.4,0,0,0,310.75,2.63,148,100994
20150115:2200,10.42,53.78,0,0,0,310.7,2.69,144,100971
20150115:2300,10.06,57.17,0,0,0,310.65,2.74,141,100948
20150116:0000,9.12,60.64,0,0,0,303.62,2.26,144,100892
20150116:0100,8.19,64.12,0,0,0,296.58,1.78,148,100836
20150116:0200,7.26,67.59,0,0,0,289.55,1.3,151,100780
20150116:0300,6.72,70.87,0,0,0,283.8,1.83,151,100761
20150116:0400,6.18,74.14,0,0,0,278.05,2.35,150,100741
20150116:0500,5.64,77.42,0,0,0,272.3,2.88,150,100721
20150116:0600,6.68,70.65,0,0,0,270.73,2.5,154,100725
20150116:0700,7.72,63.89,49,114.89,38,269.17,2.11,157,100728
20150116:0800,8.75,57.12,270,783.81,55,267.6,1.72,160,100731
20150116:0900,11.05,49.75,435,817.26,91,271.82,2.05,172,100682
20150116:1000,13.35,42.38,555,835.23,116,276.03,2.38,184,100632
20150116:1100,15.65,35.01,601,758.74,160,280.25,2.7,196,100583
20150116:1200,16.2,34.09,611,787.69,151,282.02,2.26,210,100531
20150116:1300,16.75,33.18,535,697.02,163,283.78,1.81,224,100478
20150116:1400,17.29,32.26,417,636.24,141,285.55,1.37,238,100425
20150116:1500,16.69,34.55,163,89.32,137,283.33,1.27,246,100442
20150116:1600,16.08,36.83,59,112.76,46,281.12,1.18,254,100458
20150116:1700,15.48,39.12,0,0,0,278.9,1.09,262,100475
20150116:1800,13.76,44.64,0,0,0,279.82,0.89,247,100481
20150116:1900,12.04,50.15,0,0,0,280.73,0.69,232,100488
20150116:2000,10.32,55.67,0,0,0,281.65,0.48,216,100494
20150116:2100,9.62,60.44,0,0,0,284.77,0.88,218,100488
20150116:2200,8.91,65.21,0,0,0,287.88,1.27,220,100481
20150116:2300,8.2,69.98,0,0,0,291,1.67,221,100475
20150117:0000,7.95,69.72,0,0,0,295.35,1.53,265,100452
20150117:0100,7.7,69.46,0,0,0,299.7,1.38,309,100429
20150117:0200,7.45,69.2,0,0,0,304.05,1.24,353,100406
20150117:0300,6.88,70.32,0,0,0,304.3,1.76,12,100402
20150117:0400,6.3,71.45,0,0,0,304.55,2.27,30,100399
20150117:0500,5.73,72.57,0,0,0,304.8,2.79,48,100396
20150117:0600,6.53,68.39,0,0,0,305.13,2.69,31,100425
20150117:0700,7.33,64.22,38,41.34,34,305.47,2.6,15,100455
20150117:0800,8.13,60.04,231,449.77,107,305.8,2.51,359,100485
20150117:0900,10.28,52.65,274,139.57,215,307.75,3.19,355,100448
20150117:1000,12.42,45.26,526,682.08,166,309.7,3.86,351,100412
20150117:1100,14.56,37.87,607,774.27,155,311.65,4.54,347,100376
20150117:1200,14.95,37.65,627,848.61,129,304.9,3.85,329,100340
20150117:1300,15.34,37.44,547,739.59,150,298.15,3.17,311,100304
20150117:1400,15.72,37.22,439,741.39,115,291.4,2.48,293,100268
20150117:1500,14.22,43.22,279,682.89,78,286.98,2.02,297,100294
20150117:1600,12.71,49.23,92,506.47,32,282.57,1.55,300,100320
